date,shares_eoy,nav_eoy,shares_change_pct,shares_change_abs
2020-09-28,51.23,51.34,,
2020-11-09,35.58,52.84,-30.548506734335344,-15.649999999999999
2020-12-31,86.77,124.58,143.87296233839234,51.19
2021-03-31,140.98,181.18,62.475509968883244,54.209999999999994
2021-06-30,122.15,201.08,-13.356504468718954,-18.829999999999984
2021-09-30,156.73,222.79,28.309455587392527,34.579999999999984
2021-12-31,142.36,206.89,-9.16863395648566,-14.369999999999976
2022-03-31,198.97,226.21,39.76538353470074,56.609999999999985
2022-06-30,244.54,282.57,22.90295019349651,45.56999999999999
2022-09-30,298.96,293.46,22.254027970884096,54.41999999999999
2022-12-31,507.85,508.27,69.87222370885739,208.89000000000004
2023-03-31,498.67,560.59,-1.807620360342621,-9.180000000000007
2023-06-30,639.52,671.92,28.245132051256338,140.84999999999997
2023-09-30,1016.4,946.73,58.93169877408055,376.88
2023-12-31,1040.83,933.78,2.403581267217625,24.42999999999995
2024-03-31,911.77,729.32,-12.39971945466598,-129.05999999999995
2024-06-30,960.28,716.13,5.320420720137764,48.50999999999999
2024-09-30,1009.83,923.62,5.159953346940482,49.55000000000007
2024-12-31,891.12,929.31,-11.75544398562135,-118.71000000000004
2025-03-31,767.91,824.37,-13.82642068408295,-123.21000000000004
2025-06-30,789.64,833.43,2.8297586956804954,21.730000000000018
2025-09-30,481.75,756.2,-38.99118585684616,-307.89
2025-12-31,537.1,760.22,11.489361702127665,55.35000000000002
2026-03-31,517.89,685.48,-3.5766151554645353,-19.210000000000036
